"Protocol","App","ProcessID","Status","Source","Dest","SourceIP","SourcePort","SourcePortRationalized","DestIP","DestPort","DestPortRationalized"
"TCP","svchost.exe","188","LISTENING","0.0.0.0:135","0.0.0.0:0","0.0.0.0","135",,"0.0.0.0","0",
"TCP","System","4","LISTENING","151.143.92.80:139","0.0.0.0:0","151.143.92.80","139",,"0.0.0.0","0",
"TCP","System","4","LISTENING","151.143.92.84:139","0.0.0.0:0","151.143.92.84","139",,"0.0.0.0","0",
"TCP","System","4","LISTENING","151.143.92.89:139","0.0.0.0:0","151.143.92.89","139",,"0.0.0.0","0",
"TCP","System","4","LISTENING","151.143.92.93:139","0.0.0.0:0","151.143.92.93","139",,"0.0.0.0","0",
"TCP","System","4","LISTENING","169.254.2.131:139","0.0.0.0:0","169.254.2.131","139",,"0.0.0.0","0",
"TCP","hpsmhd.exe","2756","LISTENING","0.0.0.0:2301","0.0.0.0:0","0.0.0.0","2301",,"0.0.0.0","0",
"TCP","hpsmhd.exe","2756","LISTENING","0.0.0.0:2381","0.0.0.0:0","0.0.0.0","2381",,"0.0.0.0","0",
"TCP","OPTSA.exe","2708","LISTENING","0.0.0.0:2408","0.0.0.0:0","0.0.0.0","2408",,"0.0.0.0","0",
"TCP","CmRcService.exe","7272","LISTENING","0.0.0.0:2701","0.0.0.0:0","0.0.0.0","2701",,"0.0.0.0","0",
"TCP","clussvc.exe","3260","LISTENING","0.0.0.0:3343","0.0.0.0:0","0.0.0.0","3343",,"0.0.0.0","0",
"TCP","clussvc.exe","3260","ESTABLISHED","169.254.2.131:3343","169.254.1.84:54644","169.254.2.131","3343",,"169.254.1.84","54644",
"TCP","svchost.exe","6784","LISTENING","0.0.0.0:3389","0.0.0.0:0","0.0.0.0","3389",,"0.0.0.0","0",
"TCP","cvd.exe","78312","LISTENING","0.0.0.0:8400","0.0.0.0:0","0.0.0.0","8400",,"0.0.0.0","0",
"TCP","EvMgrC.exe","19384","LISTENING","0.0.0.0:8402","0.0.0.0:0","0.0.0.0","8402",,"0.0.0.0","0",
"TCP","EvMgrC.exe","19384","ESTABLISHED","127.0.0.1:8402","127.0.0.1:63753","127.0.0.1","8402",,"127.0.0.1","63753",
"TCP","EvMgrC.exe","19384","ESTABLISHED","127.0.0.1:8402","127.0.0.1:63766","127.0.0.1","8402",,"127.0.0.1","63766",
"TCP","sqlservr.exe","10500","LISTENING","151.143.92.93:40002","0.0.0.0:0","151.143.92.93","40002",,"0.0.0.0","0",
"TCP","sqlservr.exe","10500","ESTABLISHED","151.143.92.93:40002","151.143.92.14:52281","151.143.92.93","40002",,"151.143.92.14","52281",
"TCP","sqlservr.exe","10500","ESTABLISHED","151.143.92.93:40002","151.143.92.14:52282","151.143.92.93","40002",,"151.143.92.14","52282",
"TCP","sqlservr.exe","10500","ESTABLISHED","151.143.92.93:40002","151.143.92.84:55989","151.143.92.93","40002",,"151.143.92.84","55989",
"TCP","sqlservr.exe","10500","ESTABLISHED","151.143.92.93:40002","151.143.92.84:58165","151.143.92.93","40002",,"151.143.92.84","58165",
"TCP","sqlservr.exe","10500","ESTABLISHED","151.143.92.93:40002","151.143.92.17:59238","151.143.92.93","40002",,"151.143.92.17","59238",
"TCP","sqlservr.exe","10500","ESTABLISHED","151.143.92.93:40002","151.143.92.17:59239","151.143.92.93","40002",,"151.143.92.17","59239",
"TCP","sqlservr.exe","10500","ESTABLISHED","151.143.92.93:40002","151.143.92.84:55982","151.143.92.93","40002",,"151.143.92.84","55982",
"TCP","wininit.exe","688","LISTENING","0.0.0.0:49152","0.0.0.0:0","0.0.0.0","49152",,"0.0.0.0","0",
"TCP","svchost.exe","568","LISTENING","0.0.0.0:49160","0.0.0.0:0","0.0.0.0","49160",,"0.0.0.0","0",
"TCP","svchost.exe","604","LISTENING","0.0.0.0:49162","0.0.0.0:0","0.0.0.0","49162",,"0.0.0.0","0",
"TCP","svchost.exe","604","ESTABLISHED","151.143.92.84:49162","151.143.60.171:22016","151.143.92.84","49162",,"151.143.60.171","22016",
